Path,Target Element,Example Query,Example Value (after acronym expansion),Regex
[0].data.error,,санитария,Received status code 204,Received status code 204
[2].data[0].hits[0].roms[0].arabs[1].header,,лайно,"2. лайно <span class=\"rhetoric\">pejorative</span> <span class=\"sense\">(за човек)</span>:","<acronym title=\\"([^<]*)\\">[^<]*</acronym>"
[2].data[0].hits[0].roms[0].headword_full,,лайно,"лайн|о̀ <span class=\"flexion\">&lt;-а̀&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">neuter</span>","<acronym title=\\"([^<]*)\\">[^<]*</acronym>"
[9].data[0].hits[0].roms[0].arabs[0].translations[2].source,,негативен,"<span class=\"idiom_proverb\"><strong class=\"tilde\">негативен</strong> [<span class=\"or\">или</span> черен] визов списък</span>","<acronym title=\\"([^<]*)\\">[^<]*</acronym>"
[6].data[0].hits[0].roms[0].headword_full,span:conjugation,яхвам,"я̀хвам <span class=\conjugation\">imperfective form</span>, <span class=\"headword\">я̀хна</span> <span class=\"conjugation\">perfective form</span> <span class=\"wordclass\">VERB</span> <span class=\"verbclass\">transitive verb</span> <span class=\"sense\">(възсядам)</span>","<span class=\\"conjugation\\">(imperfective|perfective)</span>"
[2].data[0].hits[0].roms[0].arabs[1].translations[1].source,span:example,лайно,"<span class=\example\"><strong class=\"tilde\">лайно</strong> такова!</span>","<span class=\\"example\\">([^<]*)</span>"
[2].data[0].hits[0].roms[0].headword_full,span:flexion,лайно,"лайн|о̀ <span class=\"flexion\">&lt;-а̀&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">neuter</span>","<span class=\\"genus\\">(neuter|feminine|masculine|masculine and feminine)</span>"
[2].data[0].hits[0].roms[0].headword_full,span:genus,лайно,"лайн|о̀ <span class=\"flexion\">&lt;-а̀&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">neuter</span>","<span class=\\"genus\\">(neuter|feminine|masculine|masculine and feminine)</span>"
[9].data[0].hits[0].roms[0].arabs[0].translations[2].source,span:idiom_proverb,негативен,"<span class=\"idiom_proverb\"><strong class=\"tilde\">негативен</strong> [<span class=\"or\">или</span> черен] визов списък</span>","<span class=\\"idiom_proverb\\">([^<]*)</span>"
[19].data[0].hits[0].roms[0].arabs[0].header,span:indirect_reference_OTHER,взра се,"взра се <span class=\indirect_reference_OTHER\">→ взирам се</span>","<span class=\\"indirect_reference_OTHER\\">→ (([^<]*))</span>"
[4].data[0].hits[0].roms[0].headword_full,span:info,никой,"нѝко|й <span class=\wordclass\">pronoun</span> <span class=\"info\">отр</span>","<span class=\\"info\\">([^<]*)</span>"
[38].data[0].hits[0].roms[0].arabs[0].translations[1].target,span:number,метаморфоза,"metamorphoses <span class=\number\">plural</span>","<span class=\\"number\\">([^<]*)</span>"
[42].data[0].hits[0].roms[0].arabs[0].translations[0].target,span:or,безмитен,"without excise <span class=\target\">[<span class=\"or\">or</span> duty]</span>","<span class=\\"or\\">([^<]*)</span>"
[5374].data[0].hits[0].roms[0].arabs[0].header,span:reference_qualification,тях,"тях <span class=\"reference_qualification\">вин от</span> <span class=\"indirect_reference_RQ\"> те</span>","<span class=\\"reference_qualification\\">([^<]*)</span>"
[41].data[0].hits[0].roms[0].arabs[0].translations[1].target,span:region,чадър,"brolly <span class=\"region\">Brit</span> <span class=\"style\">informal</span>","<span class=\\"region\\">([^<]*)</span>"
[2].data[0].hits[0].roms[0].arabs[1].header,span:rhetoric,лайно,"2. лайно <span class=\"rhetoric\">pejorative</span> <span class=\"sense\">(за човек)</span>:","<span class=\\"rhetoric\\">([^<]*)</span>"
[628].data[0].hits[0].roms[0].headword_full,span:rhetoric,извор,"ѝзвор <span class=\"flexion\">&lt;-ът, -и, <span class=\"info\">countable</span> -а&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">masculine</span> <span class=\"rhetoric\">също figurative</span> <span class=\"sense\">(източник)</span>","<span class=\\"rhetoric\\">([^<]*)</span>"
[26].data[0].hits[0].roms[0].headword_full,span:style,просперитет,"просперитѐт <span class=\flexion\">&lt;-ът&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">masculine</span> <span class=\"info\">без множествено число</span> <span class=\"style\">книж</span>","<span class=\\"style\\">([^<]*)</span>"
[3150].data[0].hits[0].roms[0].arabs[0].translations[11].target,,муха,"like flies to shit <span class=\"style\">vulgar</span>","<span class=\\"style\\">([^<]*)</span>"
[38].data[0].hits[0].roms[0].headword_full,span:topic,метаморфоза,"1. метаморфоза <span class=\topic\">biology, mythology</span>:","<span class=\\"topic\\">([^<]*)</span>"
[44].data[0].hits[0].roms[0].arabs[0].translations[2].source,span:topic,шифровам,"<strong class=\headword\">шифровам</strong> <span class=\"topic\">computing</span>","<span class=\\"topic\\">([^<]*)</span>"
[6].data[0].hits[0].roms[0].headword_full,span:verbclass,яхвам,"я̀хвам <span class=\conjugation\">imperfective form</span>, <span class=\"headword\">я̀хна</span> <span class=\"conjugation\">perfective form</span> <span class=\"wordclass\">VERB</span> <span class=\"verbclass\">transitive verb</span> <span class=\"sense\">(възсядам)</span>","<span class=\\"verbclass\\">([^<]*)</span>"
[2].data[0].hits[0].roms[0].headword_full,span:wordclass,лайно,"лайн|о̀ <span class=\"flexion\">&lt;-а̀&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">neuter</span>","<span class=\\"wordclass\\">([^<]*)</span>"
[2].data[0].hits[0].roms[0].arabs[0].header,span:sense,лайно,"1. лайно <span class=\"sense\">(изпражнение)</span>:",
[2].data[0].hits[0].roms[0].arabs[0].translations[0].source,strong:headword,лайно,"<strong class=\"headword\">лайно</strong>",
[2].data[0].hits[0].roms[0].arabs[0].translations[0].target,,лайно,turd,
[2].data[0].hits[0].roms[0].arabs[1].translations[1].source,strong:tilde,лайно,"<span class=\"example\"><strong class=\"tilde\">лайно</strong> такова!</span>",
[2].data[0].hits[0].roms[0].headword,,лайно,лайн|о̀,
[6].data[0].hits[0].roms[0].headword_full,span:headword,яхвам,"я̀хвам <span class=\conjugation\">imperfective form</span>, <span class=\"headword\">я̀хна</span> <span class=\"conjugation\">perfective form</span> <span class=\"wordclass\">VERB</span> <span class=\"verbclass\">transitive verb</span> <span class=\"sense\">(възсядам)</span>",
[6].data[0].hits[0].roms[0].wordclass,,яхвам,verb,
[8].data[0].hits[0].roms[0].arabs[0].header,span:maskuline,полеви,"полеви <span class=\maskuline\">-о̀</span> <span class=\"flexion\">&lt;-ѝ&gt;</span> <span class=\"wordclass\">adjective</span> <span class=\"topic\">military</span>:",
[8].data[0].hits[0].roms[0].arabs[0].translations[0].source,,полеви,"<strong class=\headword\">полеви</strong> <span class=\"feminine\">(-а̀)</span>",
[8].data[0].hits[0].roms[0].headword_full,span:feminine,полеви,"полев|ѝ <span class=\"feminine\">(-а̀)</span> ",
[11].data[0].hits[0].roms[0].headword_full,sup,рейд,"рейд<sup>1</sup> <span class=\"flexion\">&lt;рѐйдът, рѐйдове, <span class=\"info\">countable</span> рѐйда&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">masculine</span> <span class=\"topic\">military</span>",
[14].data[0].hits[0].roms[0].headword_full,,всекидневие,"всекиднѐвие <span class=\wordclass\">noun</span> <span class=\"genus\">neuter</span> <span class=\"info\">без множествено число</span>",
[22].data[0].hits[0].roms[0].headword_full,,влакнест,"вла̀кнест <span class=\feminine\">(-а)</span> <span class=\"flexion\">&lt;-и&gt;</span> <span class=\"maskuline\">-о</span> <span class=\"wordclass\">adjective</span>",
[27].data[0].hits[0].roms[0].arabs[1].translations[7].target,span:target,направя,"I made <span class=\"target\">[<span class=\"or\">or</span> put forward]</span> a proposal",
[27].data[0].hits[0].roms[1].arabs[0].header,span:reflection,направя,"направям <span class=\reflection\"><strong class=\"tilde\">направям</strong> се</span> <span class=\"sense\">(преструвам се)</span>:",
[28].data[0].hits[0].roms[0].headword_full,,бедуин,"бедуѝн <span class=\flexion\">&lt;-ът, -и&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">masculine</span>, <span class=\"headword\">бедуѝнк|а</span> <span class=\"flexion\">&lt;-ата, -и&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">feminine</span>",
[35].data[0].hits[0].roms[0].arabs[0].translations[0].target,span:explanation,ракия,"rakia <span class=\"explanation\">(Bulgarian strong brandy)</span>",
[39].data[0].hits[0].roms[0].headword_full,span:topic,влошаване,"влоша̀ване <span class=\"wordclass\">noun</span> <span class=\"genus\">neuter</span> <span class=\"info\">без множествено число</span> <span class=\"topic\">economy, finance</span>",""
"[40].data[0].hits[0].roms[0].arabs[1].header",span:sense,пристъп,"2. пристъп <span class=\sense\">(на болест, чувство също др.)</span>:",""
"[40].data[0].hits[0].roms[0].headword_full",acronym:countable,пристъп,"прѝстъп <span class=\flexion\">&lt;-ът, -и, <span class=\"info\">countable</span> -а&gt;</span> <span class=\"wordclass\">noun</span> <span class=\"genus\">masculine</span>",
[959].data[0].hits[0].roms[0].arabs[0].translations[1].source,span:full_collocation,хубавец,"<span class=\full_collocation\"><strong class=\"tilde\"> хубавица </strong></span>",
[2668].data[0].hits[0].roms[0].arabs[0].header,span:indirect_reference_RQ,никого,"1. никого <span class=\reference_qualification\">вин от</span> <span class=\"indirect_reference_RQ\"> никой</span>",
