"Original HTML","Regex Pattern"
"<span class=""conjugation""><acronym title=""imperfective form"">imperf</acronym>","<span class=\""conjugation\""><acronym title=\""([A-Za-z ]+ form)\"">[A-Za-z]+</acronym>"
"<span class=""conjugation""><acronym title=""perfective form"">perf</acronym>","<span class=\""conjugation\""><acronym title=\""([A-Za-z ]+ form)\"">[A-Za-z]+</acronym>"
"<span class=""example""><acronym title=""нещо"">нщ</acronym>","<span class=\""example\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""example""><acronym title=""някого"">нкг</acronym>","<span class=\""example\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""example""><acronym title=""някому"">нкм</acronym>","<span class=\""example\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""example""><acronym title=""също"">и</acronym>","<span class=\""example\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""genus""><acronym title=""feminine"">f</acronym>","<span class=\""genus\""><acronym title=\""([A-Za-z ]+)\"">[A-Za-z]+</acronym>"
"<span class=""genus""><acronym title=""masculine and feminine"">mf</acronym>","<span class=\""genus\""><acronym title=\""([A-Za-z ]+)\"">[A-Za-z]+</acronym>"
"<span class=""genus""><acronym title=""masculine"">m</acronym>","<span class=\""genus\""><acronym title=\""([A-Za-z ]+)\"">[A-Za-z]+</acronym>"
"<span class=""genus""><acronym title=""neuter"">nt</acronym>","<span class=\""genus\""><acronym title=\""([A-Za-z ]+)\"">[A-Za-z]+</acronym>"
"<span class=""idiom_proverb""><acronym title=""нещо"">нщ</acronym>","<span class=\""idiom_proverb\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""idiom_proverb""><acronym title=""някого"">нкг</acronym>","<span class=\""idiom_proverb\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""idiom_proverb""><acronym title=""също"">и</acronym>","<span class=\""idiom_proverb\""><acronym title=\""([А-Яа-я ]+)\"">[А-Яа-я]+</acronym>"
"<span class=""info""><acronym title="""">или</acronym>","<span class=\""info\""><acronym title=\""\"">или</acronym>"
"<span class=""info""><acronym title=""абревиатура на"">abbrev of</acronym>","<span class=\""info\""><acronym title=\""([A-Za-zА-Яа-я :,\.]*)\"">[A-Za-zА-Яа-я]+</acronym>"
"<span class=""info""><acronym title=""accusative"">acc</acronym>","<span class=\""info\""><acronym title=\""([A-Za-zА-Яа-я :,\.]*)\"">[A-Za-zА-Яа-я]+</acronym>"
"<span class=""info""><acronym title=""countable"">count:</acronym>","<span class=\""info\""><acronym title=\""([A-Za-zА-Яа-я :,\.]*)\"">[A-Za-zА-Яа-я]+</acronym>"
